Игрок,xg_команды,xg_игрока,xa_игрока,количество минут,cs%,o0.5%,позиция,голы,%победа,%поражение,жк,кк,матчи
Левандовски,72.94,23.66,6.76,2043,0.5197,0.9134,fw,25,0.7989,0.0624,4,0,23
Гнабри,72.94,11.62,10.72,1629,0.5197,0.9134,fw,11,0.7989,0.0624,0,0,23
Мюллер,72.94,6.75,12.13,1554,0.5197,0.9134,fw,6,0.7989,0.0624,3,0,25
Дэвис,72.94,1.41,3.41,1584,0.5197,0.9134,def,1,0.7989,0.0624,0,0,21
Холанд,49.58,5.63,0.43,510,0.3955,0.8541,fw,9,0.6198,0.1584,0,0,8
Санчо,49.58,8.22,8.67,1807,0.3955,0.8541,mid,14,0.6198,0.1584,1,0,23
Азар,49.58,3.9,5.19,1683,0.3955,0.8541,mid,5,0.6198,0.1584,1,0,24
Хуммельс,49.58,1.17,1.69,1910,0.3955,0.8541,def,1,0.6198,0.1584,3,1,23
Вернер,57.66,18.49,7.16,2059,0.4751,0.8980,fw,21,0.7398,0.0880,3,0,25
Нкунку,57.66,5.81,8.57,1442,0.4751,0.8980,mid,4,0.7398,0.0880,1,0,23
Забитцер,57.66,5.82,4.86,2048,0.4751,0.8980,mid,8,0.7398,0.0880,3,0,25
Анхелиньо,57.66,0.55,0.7,442,0.4751,0.8980,def,1,0.7398,0.0880,0,0,5
Плеа,55.30,11.04,6.99,1731,0.2697,0.7652,fw,8,0.4072,0.3218,0,1,22
Тюрам,55.30,8.44,6.72,1809,0.2697,0.7652,fw,6,0.4072,0.3218,3,0,25
Эмболо,55.3,7.36,3.12,1117,0.2697,0.7652,fw,7,0.4072,0.3218,4,0,22
Лайнер,55.3,1.92,3.67,1907,0.2697,0.7652,def,1,0.4072,0.3218,6,0,22
Раман,29.19,4.08,1.87,1377,0.1321,0.6010,fw,4,0.1584,0.6198,2,0,18
Бугшдталер,29.19,3.93,0.87,1096,0.1321,0.6010,fw,0,0.1584,0.6198,2,0,18
МакКенни,29.19,1.59,1.7,1403,0.1321,0.6010,mid,1,0.1584,0.6198,4,0,20
Кенни,29.19,0.98,1.11,2057,0.1321,0.6010,def,1,0.1584,0.6198,4,0,23
Арнольд,39.01,3.02,1.77,2052,0.2967,0.7592,mid,3,0.4161,0.3026,6,0,24
Мехмеди,39.01,1.18,2.05,936,0.2967,0.7592,fw,2,0.4161,0.3026,0,0,17
Брекало,39.01,2.14,3.99,1099,0.2967,0.7592,mid,3,0.4161,0.3026,0,0,21
Мбабу,39.01,1.04,0.93,884,0.2967,0.7592,def,1,0.4161,0.3026,1,0,11
Петерсен,34.86,7.37,2.7,1939,0.1064,0.5249,fw,8,0.0880,0.7398,1,0,25
Хёлер,34.86,5.32,1.97,1823,0.1064,0.5249,fw,4,0.0880,0.7398,4,0,25
Грифо,34.86,2.4,3.24,875,0.1064,0.5249,mid,2,0.0880,0.7398,1,1,17
Гюнтер,34.86,1.12,6.61,2238,0.1064,0.5249,def,2,0.0880,0.7398,2,0,25
Баумгартнер,36.31,5.34,1.15,908,0.3122,0.8,mid,4,0.462,0.2683,2,0,17
Даббур,36.31,0.89,0.48,295,0.3122,0.8,fw,0,0.462,0.2683,1,0,6
Бебу,36.31,2.36,2.45,1613,0.3122,0.8,fw,3,0.462,0.2683,0,0,23
Сков,36.31,1.97,4.38,1879,0.3122,0.8,def,3,0.462,0.2683,3,0,22
Кордоба,36.71,6.13,1.64,1399,0.3151,0.8013,fw,10,0.4756,0.2601,5,0,21
Утт,36.71,3.41,3.82,605,0.3151,0.8013,fw,4,0.4756,0.2601,3,0,7
Кайнц,36.71,2.42,4.95,1064,0.3151,0.8013,mid,2,0.4756,0.2601,3,0,20
Эгизибе,36.71,1.08,1.25,1829,0.3151,0.8013,def,1,0.4756,0.2601,5,1,23
Бюльтер,32.71,3.16,2.98,1720,0.0864,0.4803,mid,7,0.0624,0.7989,0,0,24
Польтер,32.71,1.9,1,303,0.0864,0.4803,fw,2,0.0624,0.7989,1,1,12
Гентнер,32.71,2.2,1.35,1939,0.0864,0.4803,mid,1,0.0624,0.7989,4,0,24
Триммель,32.71,0.03,6.26,2054,0.0864,0.4803,def,0,0.0624,0.7989,5,0,23
Костич,39.44,4.35,8.28,2062,0.2062,0.7242,mid,4,0.3218,0.4072,2,0,23
Силва,39.44,5.46,2.46,835,0.2062,0.7242,fw,4,0.3218,0.4072,0,0,15
Камада,39.44,3.26,1.92,1255,0.2062,0.7242,mid,0,0.3218,0.4072,3,0,19
Хинтерегер,39.44,4.22,1.47,1980,0.2062,0.7242,def,6,0.3218,0.4072,5,0,22
Пьонтек,30.28,3.28,0.67,465,0.2,0.6984,fw,1,0.2683,0.462,0,0,6
Куньо,30.28,1.52,0.22,315,0.2,0.6984,fw,2,0.2683,0.462,2,0,4
Дарида,30.28,2.55,3.26,1593,0.2,0.6984,mid,3,0.2683,0.462,5,1,20
Миттельштадт,30.28,0.54,1.34,1510,0.2,0.6984,def,1,0.2683,0.462,3,0,21
Нидерлехтнер,34.75,11.46,5.4,2197,0.2265,0.6984,fw,11,0.3026,0.4161,1,0,25
Макс,34.75,2.77,4.66,2016,0.2265,0.6984,mid,7,0.3026,0.4161,4,0,23
Рихтер,24.75,4.11,1.72,1657,0.2265,0.6984,mid,4,0.3026,0.4161,2,0,22
Йедвай,24.75,0.32,0.17,2108,0.2265,0.6984,def,1,0.3026,0.4161,4,0,24
